programme_id,title,category,target_audience,duration_days,mode,venue,competency_domain,difficulty,source_url,financial_year,description
NSSTA-EXTRACTED-013,Advanced Sampling Techniques,In-service / Technical Training,ISS In-service Officers,5,Residential,NSSTA Greater Noida,Survey Design & Sampling,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Advanced Sampling Techniques. Domain: Survey Design & Sampling. Target: ISS In-service Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-014,Industrial Statistics (IIP & ASI),In-service / Technical Training,ISS / SSS Officers,4,Residential,NSSTA Greater Noida,Industrial & Economic Statistics,intermediate,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Industrial Statistics (IIP & ASI). Domain: Industrial & Economic Statistics. Target: ISS / SSS Officers. Duration: 4 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-015,Mid Career Training Programme (MCTP),Mid-Career Training,ISS Officers (8-10 years),10,Residential,NSSTA Greater Noida,Leadership & Management,advanced,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Mid Career Training Programme (MCTP). Domain: Leadership & Management. Target: ISS Officers (8-10 years). Duration: 10 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-016,SSS New Recruits Induction Training,Induction / Probationary Training,SSS New Recruits,60,Residential,NSSTA Greater Noida,Survey Design & Sampling,beginner,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: SSS New Recruits Induction Training. Domain: Survey Design & Sampling. Target: SSS New Recruits. Duration: 60 hours (online). Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-017,Awareness Programme on Official Statistics for Universities,Awareness Programme,University Professors / PG Students,3,Residential,NSSTA Greater Noida,Official Statistics,beginner,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf,2025-26,NSSTA TPAC approved programme: Awareness Programme on Official Statistics for Universities. Domain: Official Statistics. Target: University Professors / PG Students. Duration: 3 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-003,Labour and Employment Statistics (PLFS),In-service / Technical Training,ISS / SSS Officers,4,Residential,NSSTA Greater Noida,Labour & Employment Statistics,intermediate,https://www.mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf,2019-20,NSSTA TPAC approved programme: Labour and Employment Statistics (PLFS). Domain: Labour & Employment Statistics. Target: ISS / SSS Officers. Duration: 4 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-011,ISS Probationary Training Programme,Induction / Probationary Training,ISS Probationers,320,Residential,NSSTA Greater Noida,Survey Design & Sampling,beginner,https://www.mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf,2019-20,NSSTA TPAC approved programme: ISS Probationary Training Programme. Domain: Survey Design & Sampling. Target: ISS Probationers. Duration: 320 hours (online). Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-013,Training for State Statistical Personnel,State Capacity Building,State Statistical Officers,5,Residential,NSSTA Greater Noida,Official Statistics,beginner,https://www.mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf,2019-20,NSSTA TPAC approved programme: Training for State Statistical Personnel. Domain: Official Statistics. Target: State Statistical Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-014,International Training Programme on Official Statistics,International Programme,Foreign Statistical Officers,10,Residential,NSSTA Greater Noida,Official Statistics,advanced,https://www.mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf,2019-20,NSSTA TPAC approved programme: International Training Programme on Official Statistics. Domain: Official Statistics. Target: Foreign Statistical Officers. Duration: 10 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-016,Module B — Official Statistics for Junior Statistical Officers,In-service / Technical Training,Junior Statistical Officers (JSOs),6,Residential,NSSTA Greater Noida,Official Statistics,beginner,https://www.mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf,2019-20,NSSTA TPAC approved programme: Module B — Official Statistics for Junior Statistical Officers. Domain: Official Statistics. Target: Junior Statistical Officers (JSOs). Duration: 6 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-007,Annual Survey of Unincorporated Sector Enterprises (ASUSE),In-service / Technical Training,SSs & SEs,1,Residential,NSSTA Greater Noida,Industrial & Economic Statistics,intermediate,https://mospi.gov.in/sites/default/files/Tentative_training_calender_16072025.pdf,2025-26,NSSTA TPAC approved programme: Annual Survey of Unincorporated Sector Enterprises (ASUSE). Domain: Industrial & Economic Statistics. Target: SSs & SEs. Duration: 1 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-006,Survey Procedures and Field Operations,In-service / Technical Training,SSS Officers (SSOs & JSOs),5,Residential,NSSTA Greater Noida,Survey Design & Sampling,beginner,https://www.mospi.gov.in/uploads/announcements/announcements_1767953051366_90243c63-143a-456d-939c-40bdd1737fbb_NSSTA_OM__06.01.2026_(1).pdf,2025-26,NSSTA TPAC approved programme: Survey Procedures and Field Operations. Domain: Survey Design & Sampling. Target: SSS Officers (SSOs & JSOs). Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-007,Mandatory iGOT Courses with Comprehensive Assessment,iGOT Mandatory,All Central Government Officers,1,Residential,NSSTA Greater Noida,Digital Governance,beginner,https://www.mospi.gov.in/uploads/announcements/announcements_1767953051366_90243c63-143a-456d-939c-40bdd1737fbb_NSSTA_OM__06.01.2026_(1).pdf,2025-26,NSSTA TPAC approved programme: Mandatory iGOT Courses with Comprehensive Assessment. Domain: Digital Governance. Target: All Central Government Officers. Duration: 1 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-004,Karmayogi Bharat (iGOT Mandatory Course),iGOT Mandatory,All MoSPI Officers,1,Residential,NSSTA Greater Noida,Digital Governance,beginner,https://www.mospi.gov.in/uploads/announcements/announcements_1775034332154_0ff2d7ab-39ac-49a5-b01a-8c9d5966bea3_NSSTA_OM_1.4.26_.pdf,2025-26,NSSTA TPAC approved programme: Karmayogi Bharat (iGOT Mandatory Course). Domain: Digital Governance. Target: All MoSPI Officers. Duration: 1 days. Source: mospi.gov.in / nssta.gov.in
NSSTA-EXTRACTED-003,Agricultural Statistics and Crop Estimation,In-service / Technical Training,ISS / SSS / State Officers,5,Residential,IASRI New Delhi & NSSTA Greater Noida,Agricultural Statistics,intermediate,https://mospi.gov.in/sites/default/files/announcements/refdoc_nsc_nssta_final_8aug18.pdf,2018-19,NSSTA TPAC approved programme: Agricultural Statistics and Crop Estimation. Domain: Agricultural Statistics. Target: ISS / SSS / State Officers. Duration: 5 days. Source: mospi.gov.in / nssta.gov.in
